game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
2698302,29,281,4.0,5.0,1.0,3.0,5.0,0.0,3.0,6.0,11.0,21.0,18.0,7.0,3.0,4.0
2698275,873,289,7.0,6.0,7.0,3.0,2.0,7.0,7.0,1.0,8.0,10.0,9.0,7.0,1.0,1.0
2698268,2288,379,6.0,5.0,4.0,2.0,1.0,5.0,8.0,4.0,10.0,11.0,10.0,10.0,1.0,0.0
2698260,379,873,3.0,2.0,6.0,4.0,2.0,0.0,2.0,2.0,15.0,11.0,10.0,14.0,1.0,1.0
2698200,631,984,3.0,0.0,8.0,5.0,0.0,2.0,3.0,1.0,12.0,8.0,6.0,9.0,2.0,3.0
2698197,631,989,4.0,3.0,6.0,1.0,3.0,1.0,5.0,5.0,13.0,12.0,12.0,12.0,0.0,1.0
2698159,11,989,4.0,3.0,5.0,4.0,2.0,1.0,3.0,10.0,17.0,11.0,11.0,13.0,0.0,4.0
2698157,985,11,5.0,1.0,4.0,4.0,0.0,4.0,10.0,4.0,12.0,18.0,15.0,12.0,3.0,0.0
2698142,631,985,7.0,5.0,3.0,6.0,5.0,3.0,5.0,7.0,20.0,9.0,7.0,17.0,2.0,3.0
2697998,985,180,5.0,2.0,6.0,9.0,2.0,3.0,4.0,0.0,9.0,13.0,11.0,7.0,2.0,2.0
2702724,995,273,5.0,3.0,4.0,4.0,1.0,4.0,3.0,0.0,11.0,14.0,12.0,8.0,2.0,3.0
2701671,618,2969,3.0,4.0,8.0,1.0,3.0,2.0,10.0,4.0,6.0,12.0,12.0,6.0,0.0,0.0
2701629,855,969,4.0,2.0,8.0,3.0,1.0,3.0,7.0,3.0,18.0,23.0,14.0,15.0,9.0,3.0
2701616,2969,1041,5.0,9.0,2.0,6.0,7.0,1.0,2.0,10.0,10.0,14.0,11.0,9.0,3.0,1.0
2701606,1420,417,7.0,7.0,8.0,4.0,6.0,7.0,10.0,3.0,11.0,13.0,11.0,10.0,2.0,1.0
2698556,162,855,4.0,6.0,9.0,3.0,4.0,2.0,8.0,2.0,15.0,14.0,13.0,14.0,1.0,1.0
2698428,11,29,9.0,7.0,3.0,7.0,6.0,6.0,4.0,6.0,15.0,9.0,9.0,14.0,0.0,1.0
2698411,631,873,11.0,3.0,6.0,5.0,1.0,10.0,9.0,3.0,16.0,15.0,11.0,14.0,2.0,2.0
2698321,31,29,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,8.0,13.0,13.0,7.0,1.0,1.0
2698317,985,29,4.0,3.0,7.0,2.0,2.0,3.0,6.0,5.0,20.0,10.0,8.0,17.0,2.0,3.0
2704283,4795,16,7.0,10.0,3.0,9.0,7.0,4.0,2.0,8.0,13.0,22.0,20.0,13.0,2.0,0.0
2704245,86,39,7.0,6.0,3.0,6.0,4.0,6.0,3.0,14.0,17.0,17.0,15.0,13.0,2.0,4.0
2704242,33,3,7.0,7.0,0.0,3.0,4.0,6.0,8.0,4.0,9.0,20.0,17.0,9.0,3.0,0.0
2704236,41,23826,2.0,8.0,3.0,2.0,4.0,2.0,8.0,3.0,17.0,17.0,16.0,13.0,1.0,4.0
2704234,44,33,2.0,3.0,4.0,2.0,3.0,0.0,4.0,6.0,18.0,12.0,12.0,16.0,0.0,2.0
2704228,105,24,1.0,6.0,6.0,7.0,6.0,0.0,1.0,4.0,14.0,19.0,17.0,14.0,2.0,0.0
2704223,33,27,3.0,3.0,2.0,7.0,1.0,3.0,2.0,7.0,12.0,16.0,13.0,10.0,3.0,2.0
2702813,417,2969,3.0,4.0,4.0,8.0,3.0,1.0,3.0,3.0,18.0,13.0,12.0,18.0,1.0,0.0
2702786,595,40,6.0,2.0,5.0,3.0,1.0,5.0,6.0,4.0,18.0,10.0,9.0,16.0,1.0,2.0
2702736,244,40,3.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,11.0,17.0,15.0,8.0,2.0,3.0
2704611,86,33,6.0,3.0,2.0,7.0,3.0,3.0,4.0,3.0,21.0,9.0,9.0,18.0,0.0,3.0
2704513,60,3,6.0,4.0,4.0,6.0,3.0,4.0,7.0,1.0,19.0,16.0,16.0,17.0,0.0,2.0
2704486,60,44,4.0,2.0,3.0,4.0,1.0,2.0,6.0,4.0,22.0,13.0,12.0,19.0,1.0,3.0
2704432,24,533,3.0,0.0,5.0,2.0,0.0,3.0,11.0,2.0,22.0,30.0,29.0,16.0,1.0,6.0
2704431,4795,23826,1.0,3.0,1.0,3.0,3.0,0.0,3.0,4.0,19.0,21.0,19.0,17.0,2.0,2.0
2704430,41,167,5.0,1.0,3.0,3.0,5.0,4.0,3.0,5.0,19.0,19.0,17.0,16.0,2.0,3.0
2704365,86,4795,4.0,5.0,6.0,5.0,4.0,2.0,3.0,4.0,19.0,20.0,19.0,18.0,1.0,1.0
2704321,23826,39,5.0,3.0,3.0,4.0,2.0,2.0,3.0,6.0,15.0,15.0,14.0,13.0,1.0,2.0
2704313,27,533,4.0,4.0,11.0,1.0,3.0,4.0,8.0,1.0,26.0,11.0,8.0,25.0,3.0,1.0
2704306,39,4795,8.0,2.0,6.0,1.0,2.0,6.0,5.0,0.0,10.0,16.0,13.0,9.0,3.0,1.0
2718810,714,621,3.0,0.0,3.0,4.0,0.0,3.0,5.0,3.0,14.0,16.0,13.0,11.0,3.0,3.0
2718798,472,940,8.0,5.0,3.0,2.0,2.0,5.0,8.0,1.0,23.0,16.0,14.0,20.0,2.0,3.0
2718772,1084,621,3.0,2.0,8.0,2.0,1.0,1.0,7.0,2.0,14.0,24.0,23.0,13.0,1.0,1.0
2718732,16795,1533,5.0,7.0,7.0,0.0,5.0,4.0,6.0,7.0,12.0,9.0,7.0,9.0,2.0,3.0
2718720,714,1084,2.0,3.0,3.0,5.0,1.0,0.0,3.0,4.0,23.0,26.0,21.0,20.0,5.0,3.0
2718711,131,150,14.0,2.0,7.0,2.0,0.0,8.0,10.0,2.0,13.0,19.0,16.0,13.0,3.0,0.0
2716694,1159,595,5.0,4.0,5.0,2.0,4.0,4.0,6.0,5.0,4.0,15.0,8.0,3.0,7.0,1.0
2704708,3,39,3.0,0.0,8.0,1.0,0.0,1.0,7.0,5.0,19.0,14.0,14.0,17.0,0.0,2.0
2704696,33,41,1.0,4.0,5.0,8.0,3.0,0.0,5.0,7.0,15.0,16.0,13.0,15.0,3.0,0.0
2704648,533,18,11.0,4.0,3.0,2.0,1.0,6.0,5.0,1.0,27.0,9.0,6.0,20.0,3.0,7.0
2719048,940,621,1.0,11.0,1.0,4.0,8.0,1.0,0.0,11.0,11.0,10.0,7.0,10.0,3.0,1.0
2719027,16795,940,3.0,4.0,8.0,5.0,1.0,3.0,8.0,1.0,10.0,17.0,17.0,9.0,0.0,1.0
2719020,1108,1050,5.0,5.0,4.0,5.0,3.0,3.0,5.0,11.0,16.0,9.0,8.0,14.0,1.0,2.0
2719006,897,16795,3.0,2.0,8.0,4.0,2.0,3.0,6.0,3.0,10.0,19.0,17.0,10.0,2.0,0.0
2718988,940,472,5.0,6.0,3.0,3.0,4.0,2.0,4.0,6.0,12.0,20.0,15.0,10.0,5.0,2.0
2718946,13,131,6.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,14.0,30.0,27.0,14.0,3.0,0.0
2718906,331,1084,2.0,4.0,9.0,6.0,3.0,1.0,4.0,6.0,19.0,11.0,10.0,18.0,1.0,1.0
2718882,131,472,10.0,1.0,9.0,3.0,1.0,5.0,5.0,1.0,14.0,22.0,15.0,12.0,7.0,2.0
2718846,1049,1084,4.0,6.0,0.0,8.0,4.0,2.0,2.0,13.0,8.0,19.0,17.0,7.0,2.0,1.0
2718816,16795,897,5.0,5.0,6.0,6.0,4.0,4.0,7.0,6.0,9.0,14.0,13.0,7.0,1.0,2.0
2726503,1390,800,9.0,1.0,1.0,4.0,1.0,6.0,2.0,4.0,17.0,12.0,8.0,17.0,4.0,0.0
2721034,7179,1085,3.0,5.0,3.0,9.0,4.0,1.0,3.0,4.0,17.0,18.0,17.0,16.0,1.0,1.0
2720980,2420,2425,10.0,3.0,4.0,4.0,3.0,7.0,4.0,6.0,20.0,18.0,16.0,20.0,2.0,0.0
2720958,979,2503,6.0,3.0,3.0,6.0,4.0,8.0,7.0,0.0,23.0,25.0,22.0,23.0,3.0,0.0
2720943,68608,2420,4.0,5.0,6.0,8.0,4.0,3.0,5.0,10.0,11.0,18.0,16.0,11.0,2.0,0.0
2720864,982,7179,4.0,4.0,8.0,4.0,2.0,3.0,9.0,6.0,18.0,17.0,17.0,15.0,0.0,3.0
2720848,979,982,12.0,4.0,5.0,4.0,3.0,9.0,8.0,8.0,12.0,12.0,12.0,11.0,0.0,1.0
2720812,68608,294,3.0,6.0,4.0,3.0,4.0,3.0,5.0,8.0,20.0,18.0,16.0,18.0,2.0,2.0
2720763,3349,979,6.0,4.0,3.0,5.0,3.0,8.0,8.0,1.0,16.0,25.0,22.0,15.0,3.0,1.0
2719070,150,13,4.0,2.0,8.0,1.0,1.0,3.0,3.0,5.0,18.0,8.0,7.0,17.0,1.0,1.0
2735601,969,1158,5.0,4.0,3.0,5.0,4.0,3.0,3.0,8.0,10.0,10.0,7.0,8.0,3.0,2.0
2726841,410,1038,3.0,4.0,2.0,2.0,5.0,2.0,6.0,5.0,13.0,9.0,8.0,11.0,1.0,2.0
2726826,12,506,5.0,4.0,4.0,5.0,3.0,2.0,5.0,6.0,7.0,9.0,8.0,6.0,1.0,1.0
2726795,1038,4083,6.0,6.0,4.0,2.0,5.0,5.0,5.0,9.0,18.0,15.0,12.0,12.0,3.0,6.0
2726790,46,5,3.0,5.0,4.0,3.0,3.0,1.0,2.0,8.0,12.0,15.0,10.0,9.0,5.0,3.0
2726783,12,800,5.0,1.0,7.0,4.0,0.0,4.0,11.0,3.0,24.0,9.0,8.0,22.0,1.0,2.0
2726703,458,800,5.0,6.0,4.0,9.0,2.0,3.0,6.0,3.0,14.0,15.0,15.0,12.0,0.0,2.0
2726693,800,1390,6.0,3.0,3.0,0.0,3.0,3.0,6.0,4.0,20.0,20.0,18.0,18.0,2.0,2.0
2726655,252,12,4.0,3.0,3.0,6.0,3.0,4.0,2.0,8.0,13.0,17.0,12.0,13.0,5.0,0.0
2726568,398,1390,11.0,5.0,2.0,5.0,5.0,7.0,4.0,10.0,7.0,5.0,5.0,5.0,0.0,2.0
2871647,44,533,3.0,4.0,2.0,5.0,3.0,2.0,0.0,5.0,16.0,15.0,13.0,14.0,2.0,2.0
2871597,41,23826,2.0,5.0,6.0,6.0,3.0,2.0,4.0,14.0,15.0,16.0,15.0,12.0,1.0,3.0
2871549,167,18,9.0,3.0,7.0,6.0,1.0,7.0,10.0,0.0,13.0,13.0,12.0,12.0,1.0,1.0
2831520,1041,12,12.0,8.0,3.0,3.0,6.0,8.0,8.0,4.0,14.0,15.0,15.0,13.0,0.0,1.0
2805639,294,16,1.0,4.0,1.0,7.0,4.0,0.0,3.0,10.0,18.0,16.0,14.0,10.0,2.0,8.0
2758745,180,46,5.0,2.0,8.0,1.0,1.0,4.0,9.0,3.0,10.0,14.0,10.0,8.0,4.0,2.0
2758706,2944,1050,5.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,11.0,14.0,10.0,10.0,4.0,1.0
2754918,371,18,3.0,6.0,3.0,5.0,4.0,3.0,4.0,5.0,10.0,9.0,9.0,6.0,0.0,4.0
2754300,417,33,2.0,7.0,1.0,6.0,6.0,2.0,4.0,8.0,20.0,14.0,12.0,17.0,2.0,3.0
2735622,417,583,3.0,3.0,2.0,6.0,2.0,0.0,2.0,8.0,20.0,9.0,8.0,16.0,1.0,4.0
2872101,33,24,5.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,15.0,17.0,11.0,12.0,6.0,3.0
2872077,42,27,2.0,8.0,0.0,5.0,5.0,2.0,2.0,7.0,19.0,11.0,10.0,19.0,1.0,0.0
2872049,167,27,2.0,7.0,4.0,1.0,3.0,1.0,1.0,6.0,9.0,26.0,22.0,8.0,4.0,1.0
2872017,533,3,11.0,1.0,5.0,3.0,1.0,5.0,4.0,8.0,14.0,19.0,14.0,11.0,5.0,3.0
2871996,82,60,7.0,7.0,5.0,2.0,6.0,4.0,1.0,3.0,15.0,10.0,8.0,11.0,2.0,4.0
2871991,44,18,8.0,7.0,4.0,0.0,3.0,6.0,8.0,2.0,14.0,17.0,14.0,12.0,3.0,2.0
2871856,60,44,8.0,3.0,6.0,4.0,2.0,5.0,6.0,1.0,14.0,20.0,18.0,13.0,2.0,1.0
2871726,82,27,1.0,5.0,1.0,7.0,3.0,0.0,4.0,8.0,17.0,11.0,11.0,16.0,0.0,1.0
2871673,27,33,5.0,3.0,7.0,5.0,2.0,3.0,4.0,3.0,17.0,17.0,15.0,16.0,2.0,1.0
2871659,86,33,2.0,5.0,8.0,4.0,3.0,1.0,6.0,5.0,19.0,15.0,14.0,17.0,1.0,2.0
2872331,180,873,3.0,5.0,6.0,2.0,3.0,2.0,4.0,7.0,11.0,10.0,9.0,11.0,1.0,0.0
2872320,985,180,3.0,3.0,5.0,4.0,3.0,3.0,10.0,7.0,15.0,13.0,12.0,13.0,1.0,2.0
2872314,984,29,2.0,1.0,10.0,2.0,1.0,2.0,10.0,2.0,14.0,15.0,14.0,13.0,1.0,1.0
2872266,873,989,6.0,5.0,7.0,3.0,3.0,4.0,6.0,3.0,15.0,20.0,15.0,12.0,5.0,3.0
2872241,180,29,5.0,2.0,7.0,4.0,1.0,1.0,7.0,2.0,12.0,6.0,6.0,12.0,0.0,0.0
2872214,984,281,4.0,5.0,1.0,8.0,2.0,2.0,1.0,2.0,8.0,15.0,11.0,7.0,4.0,1.0
2872211,31,1110,7.0,0.0,6.0,1.0,0.0,4.0,9.0,2.0,9.0,9.0,9.0,8.0,0.0,1.0
2872170,281,873,9.0,0.0,7.0,2.0,0.0,4.0,8.0,2.0,8.0,6.0,6.0,7.0,0.0,1.0
2872127,1110,762,3.0,5.0,2.0,2.0,5.0,2.0,7.0,3.0,15.0,18.0,13.0,10.0,5.0,5.0
2872104,39,86,1.0,3.0,9.0,4.0,1.0,1.0,3.0,7.0,10.0,17.0,12.0,7.0,5.0,3.0
2883758,3349,3336,3.0,8.0,3.0,7.0,9.0,3.0,4.0,9.0,17.0,18.0,18.0,14.0,0.0,3.0
2872494,379,29,4.0,7.0,6.0,3.0,6.0,1.0,6.0,6.0,13.0,14.0,10.0,12.0,4.0,1.0
2872467,1110,29,2.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,11.0,11.0,10.0,8.0,1.0,3.0
2872458,631,1110,6.0,1.0,6.0,1.0,0.0,6.0,9.0,0.0,12.0,10.0,8.0,12.0,2.0,0.0
2872430,985,2288,5.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,13.0,10.0,5.0,12.0,5.0,1.0
2872397,873,985,4.0,7.0,5.0,4.0,4.0,3.0,3.0,7.0,9.0,13.0,11.0,7.0,2.0,2.0
2872380,180,31,4.0,4.0,2.0,8.0,2.0,4.0,3.0,1.0,9.0,9.0,4.0,9.0,5.0,0.0
2872366,11,29,7.0,2.0,3.0,5.0,1.0,2.0,4.0,6.0,10.0,9.0,8.0,7.0,1.0,3.0
2872335,989,11,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,14.0,8.0,8.0,10.0,0.0,4.0
2872334,379,984,5.0,3.0,4.0,5.0,1.0,3.0,3.0,4.0,11.0,13.0,12.0,10.0,1.0,1.0
2897236,1038,800,10.0,10.0,1.0,6.0,9.0,7.0,4.0,6.0,16.0,12.0,11.0,15.0,1.0,1.0
2897235,12,6195,2.0,6.0,5.0,4.0,4.0,2.0,5.0,2.0,11.0,14.0,13.0,9.0,1.0,2.0
2897182,276,430,3.0,10.0,7.0,8.0,5.0,3.0,8.0,6.0,14.0,11.0,11.0,11.0,0.0,3.0
2897170,4083,276,5.0,0.0,7.0,4.0,0.0,5.0,1.0,3.0,12.0,18.0,15.0,11.0,3.0,1.0
2890515,583,1416,5.0,1.0,6.0,4.0,1.0,3.0,8.0,3.0,12.0,11.0,8.0,12.0,3.0,0.0
2884529,2995,2425,4.0,1.0,6.0,4.0,1.0,4.0,7.0,6.0,19.0,24.0,23.0,17.0,1.0,2.0
2884504,2995,68608,4.0,3.0,6.0,4.0,2.0,3.0,6.0,3.0,12.0,10.0,9.0,11.0,1.0,1.0
2884449,2420,68608,6.0,3.0,4.0,3.0,3.0,6.0,4.0,5.0,21.0,17.0,17.0,21.0,0.0,0.0
2884440,2425,3336,6.0,4.0,7.0,4.0,4.0,5.0,8.0,2.0,19.0,10.0,9.0,17.0,1.0,2.0
2883766,68608,2995,4.0,3.0,7.0,3.0,2.0,5.0,10.0,3.0,18.0,15.0,11.0,17.0,4.0,1.0
2897474,2722,416,4.0,5.0,7.0,8.0,3.0,3.0,9.0,3.0,21.0,18.0,13.0,20.0,5.0,1.0
2897471,5,800,5.0,7.0,9.0,0.0,5.0,5.0,7.0,4.0,12.0,16.0,14.0,12.0,2.0,0.0
2897462,46,410,8.0,5.0,12.0,2.0,2.0,7.0,15.0,3.0,15.0,12.0,8.0,15.0,4.0,0.0
2897448,252,800,4.0,7.0,9.0,2.0,5.0,3.0,7.0,5.0,20.0,18.0,15.0,20.0,3.0,0.0
2897446,1390,1038,5.0,9.0,7.0,5.0,8.0,3.0,6.0,4.0,14.0,21.0,15.0,12.0,6.0,2.0
2897445,416,800,6.0,8.0,3.0,6.0,7.0,5.0,5.0,7.0,16.0,10.0,10.0,13.0,0.0,3.0
2897337,416,410,6.0,2.0,5.0,6.0,0.0,4.0,7.0,3.0,21.0,14.0,12.0,17.0,2.0,4.0
2897256,12,4083,5.0,2.0,9.0,1.0,2.0,4.0,10.0,1.0,14.0,10.0,8.0,8.0,2.0,6.0
2897255,506,2722,6.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,15.0,20.0,16.0,14.0,4.0,1.0
2897252,430,416,7.0,1.0,6.0,3.0,1.0,4.0,5.0,6.0,20.0,21.0,20.0,20.0,1.0,0.0
2899631,3368,3709,3.0,5.0,1.0,2.0,5.0,2.0,3.0,2.0,19.0,19.0,18.0,15.0,1.0,4.0
2899619,3368,1108,0.0,3.0,8.0,6.0,1.0,0.0,8.0,4.0,20.0,13.0,11.0,18.0,2.0,2.0
2899618,1050,1533,6.0,0.0,5.0,5.0,0.0,3.0,6.0,3.0,12.0,19.0,15.0,9.0,4.0,3.0
2899606,1533,940,1.0,6.0,4.0,3.0,2.0,1.0,4.0,4.0,7.0,17.0,16.0,4.0,1.0,3.0
2899603,150,3368,6.0,1.0,5.0,5.0,1.0,2.0,6.0,3.0,4.0,13.0,10.0,2.0,3.0,2.0
2899588,472,621,3.0,5.0,8.0,3.0,5.0,3.0,7.0,6.0,22.0,14.0,13.0,20.0,1.0,2.0
2897557,1390,46,6.0,5.0,3.0,3.0,2.0,5.0,7.0,5.0,18.0,17.0,12.0,15.0,5.0,3.0
2897545,252,416,4.0,2.0,7.0,1.0,0.0,3.0,7.0,3.0,11.0,12.0,11.0,10.0,1.0,1.0
2897539,6195,4083,11.0,4.0,8.0,3.0,3.0,9.0,6.0,9.0,11.0,5.0,3.0,10.0,2.0,1.0
2897522,410,46,2.0,10.0,6.0,7.0,6.0,2.0,5.0,9.0,9.0,10.0,9.0,7.0,1.0,2.0
2901022,273,2969,8.0,6.0,4.0,4.0,4.0,6.0,7.0,0.0,18.0,9.0,8.0,13.0,1.0,5.0
2899914,1533,472,4.0,2.0,4.0,2.0,4.0,4.0,3.0,11.0,17.0,18.0,14.0,11.0,4.0,6.0
2899823,13,940,4.0,2.0,1.0,3.0,2.0,1.0,6.0,4.0,11.0,14.0,11.0,10.0,3.0,1.0
2899822,1050,13,5.0,3.0,8.0,5.0,2.0,3.0,5.0,4.0,21.0,12.0,12.0,16.0,0.0,5.0
2899798,1049,150,6.0,4.0,3.0,2.0,4.0,3.0,7.0,0.0,14.0,18.0,14.0,12.0,4.0,2.0
