game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2697998,985,2,2.0,José Mourinho,180,0,16.0,Claude Puel,Home,1
2698142,631,4,4.0,Antonio Conte,985,0,7.0,José Mourinho,Home,1
2698144,512,0,13.0,Mark Hughes,989,1,10.0,Eddie Howe,Home,0
2698148,984,4,9.0,Tony Pulis,1132,0,12.0,Sean Dyche,Home,1
2698157,985,1,6.0,José Mourinho,11,1,4.0,Arsène Wenger,Home,0
2698159,11,3,4.0,Arsène Wenger,989,1,12.0,Eddie Howe,Home,1
2698197,631,3,1.0,Antonio Conte,989,0,12.0,Eddie Howe,Home,1
2698200,631,1,1.0,Antonio Conte,984,0,8.0,Tony Pulis,Home,1
2698213,11,3,2.0,Arsène Wenger,512,1,11.0,Mark Hughes,Home,1
2698260,379,3,12.0,Slaven Bilic,873,0,17.0,Sam Allardyce,Home,1
2698268,2288,1,19.0,Bob Bradley,379,4,11.0,Slaven Bilic,Home,0
2698275,873,0,19.0,Sam Allardyce,289,4,20.0,David Moyes,Home,0
2698300,1132,0,15.0,Sean Dyche,148,2,2.0,Mauricio Pochettino,Home,0
2698302,29,4,7.0,Ronald Koeman,281,0,5.0,Pep Guardiola,Home,1
2698317,985,1,6.0,José Mourinho,29,1,7.0,Ronald Koeman,Home,0
2698321,31,3,3.0,Jürgen Klopp,29,1,7.0,Ronald Koeman,Home,1
2698346,873,0,18.0,Sam Allardyce,148,1,2.0,Mauricio Pochettino,Home,0
2698367,989,2,11.0,Eddie Howe,512,2,13.0,Mark Hughes,Home,0
2698411,631,1,1.0,Antonio Conte,873,2,16.0,Sam Allardyce,Home,0
2698428,11,3,5.0,Arsène Wenger,29,1,7.0,Ronald Koeman,Home,1
2698556,162,2,9.0,Leonardo Jardim,855,2,10.0,Antoine Kombouaré,Home,0
2701606,1420,0,17.0,Stéphane Moulin,417,1,3.0,Lucien Favre,Home,0
2701616,2969,4,15.0,Olivier Dall'Oglio,1041,2,1.0,Bruno Génésio,Home,1
2701629,855,1,5.0,Antoine Kombouaré,969,1,13.0,Frédéric Hantz,Home,0
2701671,618,1,9.0,Christophe Galtier,2969,1,17.0,Olivier Dall'Oglio,Home,0
2702724,995,1,14.0,René Girard,273,2,6.0,Christian Gourcuff,Home,0
2702736,244,0,10.0,Rudi Garcia,40,0,9.0,Jocelyn Gourvennec,Home,0
2702786,595,1,18.0,François Ciccolini,40,1,5.0,Jocelyn Gourvennec,Home,0
2702813,417,2,1.0,Lucien Favre,2969,1,19.0,Olivier Dall'Oglio,Home,1
2704222,15,3,6.0,Roger Schmidt,41,1,15.0,Bruno Labbadia,Home,1
2704223,33,0,17.0,Markus Weinzierl,27,2,1.0,Carlo Ancelotti,Home,0
2704228,105,1,12.0,Norbert Meier,24,0,9.0,Niko Kovac,Home,1
2704234,44,2,2.0,Pál Dárdai,33,0,17.0,Markus Weinzierl,Home,1
2704236,41,0,16.0,Bruno Labbadia,23826,4,3.0,Ralph Hasenhüttl,Home,0
2704242,33,1,17.0,Markus Weinzierl,3,3,2.0,Peter Stöger,Home,0
2704245,86,1,18.0,Alexander Nouri,39,2,7.0,Martin Schmidt,Home,0
2704275,86,2,13.0,Alexander Nouri,15,1,10.0,Roger Schmidt,Home,1
2704283,4795,3,17.0,Markus Kauczinski,16,3,6.0,Thomas Tuchel,Home,0
2704306,39,2,9.0,Martin Schmidt,4795,0,17.0,Markus Kauczinski,Home,1
2704313,27,1,1.0,Carlo Ancelotti,533,1,3.0,Julian Nagelsmann,Home,0
2704321,23826,3,2.0,Ralph Hasenhüttl,39,1,10.0,Martin Schmidt,Home,1
2704365,86,2,14.0,Alexander Nouri,4795,1,18.0,Maik Walpurgis,Home,1
2704430,41,1,16.0,Markus Gisdol,167,0,13.0,Dirk Schuster,Home,1
2704431,4795,1,17.0,Maik Walpurgis,23826,0,2.0,Ralph Hasenhüttl,Home,1
2704432,24,0,5.0,Niko Kovac,533,0,4.0,Julian Nagelsmann,Home,0
2704486,60,2,8.0,Christian Streich,44,1,6.0,Pál Dárdai,Home,1
2704513,60,2,8.0,Christian Streich,3,1,7.0,Peter Stöger,Home,1
2704611,86,3,11.0,Alexander Nouri,33,0,12.0,Markus Weinzierl,Home,1
2704648,533,5,3.0,Julian Nagelsmann,18,3,9.0,Dieter Hecking,Home,1
2704696,33,1,10.0,Markus Weinzierl,41,1,16.0,Markus Gisdol,Home,0
2704708,3,2,5.0,Peter Stöger,39,0,15.0,Martin Schmidt,Home,1
2716694,1159,1,12.0,Pablo Correa,595,0,19.0,François Ciccolini,Home,1
2718711,131,6,1.0,Luis Enrique,150,2,20.0,Gustavo Poyet,Home,1
2718720,714,2,14.0,Quique Sánchez Flores,1084,2,10.0,Juande Ramos,Home,0
2718732,16795,1,18.0,Paco Jémez,1533,2,6.0,José Luis Mendilibar,Home,0
2718760,472,2,7.0,Quique Setién,418,2,1.0,Zinédine Zidane,Home,0
2718772,1084,2,14.0,Juande Ramos,621,1,6.0,Ernesto Valverde,Home,1
2718798,472,3,10.0,Quique Setién,940,3,9.0,Eduardo Berizzo,Home,0
2718810,714,0,13.0,Quique Sánchez Flores,621,0,7.0,Ernesto Valverde,Home,0
2718816,16795,1,20.0,Lucas Alcaraz,897,1,16.0,Gaizka Garitano,Home,0
2718846,1049,2,17.0,Cesare Prandelli,1084,2,11.0,Juande Ramos,Home,0
2718847,16795,2,19.0,Lucas Alcaraz,368,1,3.0,Jorge Sampaoli,Home,1
2718882,131,5,3.0,Luis Enrique,472,0,10.0,Quique Setién,Home,1
2718906,331,1,19.0,Petar Vasiljevic,1084,1,15.0,Marcelo Romero,Home,0
2718946,13,1,4.0,Diego Simeone,131,2,2.0,Luis Enrique,Home,0
2718961,150,2,14.0,Víctor Sánchez,681,3,5.0,Eusebio,Home,0
2718981,621,1,7.0,Ernesto Valverde,418,2,1.0,Zinédine Zidane,Home,0
2718984,13,3,4.0,Diego Simeone,368,1,3.0,Jorge Sampaoli,Home,1
2718988,940,3,10.0,Eduardo Berizzo,472,1,12.0,Quique Setién,Home,1
2718993,681,1,5.0,Eusebio,1244,1,17.0,Asier Garitano,Home,0
2719006,897,0,16.0,Pepe Mel,16795,0,19.0,Lucas Alcaraz,Home,0
2719020,1108,2,11.0,Mauricio Pellegrino,1050,1,5.0,Fran Escribá,Home,1
2719027,16795,0,19.0,Tony Adams,940,3,10.0,Eduardo Berizzo,Home,0
2719048,940,0,11.0,Eduardo Berizzo,621,3,6.0,Ernesto Valverde,Home,0
2719070,150,1,15.0,Alexis Trujillo,13,1,3.0,Diego Simeone,Home,0
2720763,3349,0,11.0,José Mota,979,3,3.0,Pêpa,Home,0
2720784,336,3,1.0,Jorge Jesus,979,0,12.0,Pêpa,Home,1
2720793,7179,0,18.0,Petit,720,0,3.0,Nuno Espírito Santo,Home,0
2720812,68608,0,13.0,Quim Machado,294,2,1.0,Rui Vitória,Home,0
2720848,979,3,15.0,Augusto Inácio,982,1,18.0,Manuel Machado,Home,1
2720862,3325,2,7.0,Jorge Simão,979,1,16.0,Augusto Inácio,Home,1
2720864,982,3,15.0,Manuel Machado,7179,2,18.0,Petit,Home,1
2720943,68608,1,12.0,Quim Machado,2420,1,5.0,Pedro Martins,Home,0
2720958,979,0,16.0,Augusto Inácio,2503,0,10.0,Miguel Leal,Home,0
2720980,2420,3,5.0,Pedro Martins,2425,0,7.0,Luís Castro,Home,1
2720996,3349,0,10.0,Nuno Manta Santos,1075,1,4.0,Jorge Simão,Home,0
2721022,294,2,1.0,Rui Vitória,1465,1,15.0,Pedro Emanuel,Home,1
2721034,7179,2,17.0,Pêpa,1085,1,11.0,José Couceiro,Home,1
2721046,1465,4,10.0,Pedro Emanuel,8024,2,17.0,Jorge Leitão,Home,1
2721053,979,3,15.0,Petit,720,1,2.0,Nuno Espírito Santo,Home,1
2726503,1390,3,15.0,Massimo Rastelli,800,0,18.0,Gian Piero Gasperini,Home,1
